"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","45-60",9/7/14 7:40 PM,9/7/14 7:41 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Arts, Design, Entertainment, Sports, and Media Occupations",,"Male","$100,000 - $149,999","Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 7:40 PM,9/7/14 7:40 PM,"Widowed",,,,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:39 PM,9/7/14 7:40 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired","Male","$100,000 - $149,999","Graduate degree","East South Central"
"One of us snores","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Somewhat disagree","45-60",9/7/14 7:39 PM,9/7/14 7:41 PM,"Married","More than 20 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","education","Male","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 7:39 PM,9/7/14 7:39 PM,"Married","More than 20 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,,,,
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","> 60",9/7/14 7:38 PM,9/7/14 7:42 PM,"Married","More than 20 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"After 20 years of our relationship","Other (please specify)","Retired","Male","$150,000+","Graduate degree","East North Central"
"One of us snores","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","30-44",9/7/14 7:38 PM,9/7/14 7:42 PM,"Single, but cohabiting with a significant other","1-5 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Management Occupations",,"Male","$150,000+","Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:38 PM,9/7/14 7:39 PM,"Married","More than 20 years","Never",,,,,,"Construction and Extraction Occupations",,"Male","$150,000+","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:38 PM,9/7/14 7:40 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Laid off from Computer and Mathematical Occupations","Male","$50,000 - $99,999","Graduate degree","South Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","Night working/very different sleeping times","-","Strongly disagree","Strongly disagree","Strongly disagree","-",9/7/14 7:38 PM,9/7/14 7:39 PM,"Married","1-5 years","Once a year or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Management Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 7:38 PM,9/7/14 7:39 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Other (please specify)","Unemployed","Male","$0 - $24,999","Some college or Associate degree","Pacific"
"One of us snores","-","-","We are no longer physically intimate","-","-","-","-","-","-","-","Strongly agree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 7:38 PM,9/7/14 7:40 PM,"Married","11-15 years","Every night","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Office and Administrative Support Occupations",,"Female","$25,000 - $49,999","Some college or Associate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:37 PM,9/7/14 7:38 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$100,000 - $149,999","Graduate degree","West North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Somewhat disagree","> 60",9/7/14 7:37 PM,9/7/14 7:39 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Other (please specify)","Retired","Male","$100,000 - $149,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:37 PM,9/7/14 7:38 PM,"Married","More than 20 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 7:37 PM,9/7/14 7:38 PM,"Married","6-10 years","Never",,,,,,"Production Occupations",,,,,
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","45-60",9/7/14 7:37 PM,9/7/14 7:40 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Legal Occupations",,"Female",,"Some college or Associate degree","West North Central"
"One of us snores","One of us makes frequent bathroom trips in the night","-","We are no longer physically intimate","-","-","-","-","-","-","-","Strongly disagree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 7:37 PM,9/7/14 7:39 PM,"Married","More than 20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 16-20 years of our relationship","Management Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
"One of us snores","-","-","-","We have different temperature preferences for the room","-","-","-","-","-","-","Strongly agree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 7:37 PM,9/7/14 7:41 PM,"In a domestic partnership or civil union","16-20 years","Every night","Separate bedroom",,"Separate bedroom",,"Within 6-10 years of our relationship","Other (please specify)","state employment","Female","$25,000 - $49,999","High school degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 7:37 PM,9/7/14 7:37 PM,"Married","More than 20 years","Never",,,,,,"Personal Care and Service Occupations",,,,,
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Strongly disagree","Neither agree nor disagree","Strongly disagree","30-44",9/7/14 7:36 PM,9/7/14 7:43 PM,"Single, but cohabiting with a significant other","1-5 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 7:36 PM,9/7/14 7:37 PM,"Married","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Bachelor degree","South Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","Night working/very different sleeping times","-","Strongly disagree","Strongly disagree","Strongly disagree","45-60",9/7/14 7:36 PM,9/7/14 7:38 PM,"Married","1-5 years","Once a year or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Management Occupations",,"Female","$150,000+","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 7:36 PM,9/7/14 7:37 PM,"Married","6-10 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Somewhat agree","Strongly disagree","> 60",9/7/14 7:36 PM,9/7/14 7:38 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Transportation and Materials Moving Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:36 PM,9/7/14 7:36 PM,"Married","More than 20 years","Never",,,,,,"Personal Care and Service Occupations",,"Female","$0 - $24,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:36 PM,9/7/14 7:37 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Pastor, ministry related occupation","Male","$150,000+","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:36 PM,9/7/14 7:37 PM,"Married","6-10 years","Never",,,,,,"Business and Financial Operations Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:36 PM,9/7/14 7:37 PM,"Married","16-20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","East North Central"
"One of us snores","-","One of us is sick","-","-","We've had an argument or fight","-","-","-","-","Other (please specify)","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","30-44",9/7/14 7:35 PM,9/7/14 7:40 PM,"Married","16-20 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Sales and Related Occupations",,"Male","$150,000+","Some college or Associate degree","Pacific"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","> 60",9/7/14 7:35 PM,9/7/14 7:37 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"On the couch/chair",,"After 20 years of our relationship","Other (please specify)","retired","Female","$100,000 - $149,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:35 PM,9/7/14 7:37 PM,"Married","More than 20 years","Never",,,,,,"Management Occupations",,"Male","$150,000+","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Strongly disagree","Strongly disagree","18-29",9/7/14 7:36 PM,9/7/14 7:38 PM,"Married","6-10 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","Research","Male","$0 - $24,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:35 PM,9/7/14 7:36 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Support Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:35 PM,9/7/14 7:36 PM,"Married","More than 20 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male",,"Graduate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:35 PM,9/7/14 7:44 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Student","Female","$25,000 - $49,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 7:35 PM,9/7/14 7:35 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Bachelor degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 7:35 PM,9/7/14 7:35 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female",,"Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 7:34 PM,9/7/14 7:35 PM,"Married","More than 20 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female",,"Graduate degree","New England"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","> 60",9/7/14 7:34 PM,9/7/14 7:41 PM,"Married","More than 20 years","A few times per month","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 16-20 years of our relationship","Education, Training, and Library Occupations",,"Male","$150,000+","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 7:34 PM,9/7/14 7:35 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Other (please specify)","Student","Female","$100,000 - $149,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 7:34 PM,9/7/14 7:34 PM,"Married",,,,,,,,,,,,,
